0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	0
0	4	0
0	7	0
0	15	0
0	19	0
0	25	0
0	33	0
0	54	0
0	84	0
0	111	0
0	145	0
0	167	0
0	192	2
0	277	8
0	489	13
1	621	26
1	750	27
1	907	35
1	1077	41
3	1169	50
3	1308	68
3	1423	82
6	1552	102
7	1742	130
7	1926	148
7	2132	169
8	2371	193
10	2566	212
12	2916	237
14	3156	266
16	3581	303
20	3845	291
22	4102	317
26	4226	321
28	4447	318
32	4655	325
42	4935	318
44	5208	318
50	5349	306
58	5510	310
59	5755	314
69	5863	277
80	6010	250
88	6160	252
90	6244	234
92	6320	214
103	6415	214
114	6488	204
127	6566	201
130	6677	190
136	6791	175
137	6791	165
137	6791	148
148	6984	153
154	7113	160
154	7166	144
169	7250	129
180	7345	123
191	7408	120
191	7408	114
191	7408	122
193	7533	125
195	7605	119
202	7667	114
204	7710	99
204	7759	82
204	7783	81
204	7809	80
208	7847	82
209	7903	71
213	7954	62
213	7995	63
213	8034	61
213	8069	59
213	8099	60
223	8106	59
227	8153	59
228	8158	61
231	8175	61
232	8197	58
233	8221	52
233	8237	52
233	8249	52
233	8257	51
234	8268	51
234	8292	41
235	8309	45
235	8332	35
235	8346	38
235	8346	38
235	8352	37
235	8364	37
236	8383	36
236	8401	29
236	8411	30
236	8425	28
236	8440	28
236	8442	29
237	8446	26
237	8447	26
238	8447	22
238	8504	22
238	8504	22
238	8504	22
239	8547	21
239	8563	20
239	8576	20
242	8576	20
242	8576	20
242	8606	20
242	8606	18
242	8631	18
242	8647	18
243	8660	18
243	8692	19
244	8692	19
244	8692	19
244	8692	19
248	8745	12
248	8751	16
248	8777	16
249	8793	18
249	8815	20
249	8815	20
249	8815	20
249	8855	18
250	8866	19
250	8887	19
251	8895	19
251	8895	15
251	8895	15
251	8895	15
251	8930	11
251	8936	9
251	8947	8
252	8954	7
252	8965	4
252	8974	4
252	8977	4
253	8981	6
253	8984	7
253	9001	4
254	9011	5
255	9015	8
255	9025	8
255	9028	8
255	9028	10
255	9038	7
255	9053	3
255	9062	3
255	9085	3
255	9092	3
255	9111	3
255	9117	7
255	9132	5
255	9150	6
255	9172	6
255	9208	9
256	9240	9
256	9253	9
256	9312	14
256	9334	12
256	9362	11
256	9409	14
256	9468	15
256	9551	15
256	9599	15
256	9638	16
256	9684	15
256	9751	15
257	9783	12
261	9851	8
261	9934	8
261	9989	8
261	10005	14
261	10060	12
262	10111	11
264	10162	11
264	10197	13
264	10275	13
264	10299	13
264	10374	17
264	10395	18
264	10454	17
264	10505	17
264	10542	16
264	10582	16
264	10611	16
264	10746	12
264	10840	11
264	10952	11
264	11065	13
264	11120	16
264	11254	16
264	11330	16
264	11462	15
264	11560	11
264	11623	14
265	11746	11
265	11868	16
265	12050	16
265	12123	16
265	12219	21
265	12330	18
265	12393	16
266	12498	20
267	12644	16
267	12820	16
267	12883	16
267	12897	23
267	13006	21
267	13152	19
270	13276	24
270	13405	19
270	13588	19
270	13658	19
274	13698	21
274	13787	24
274	13960	28
274	14026	25
275	14148	27
275	14283	27
275	14361	27
275	14456	25
275	14604	22
275	14783	25
275	15093	27
275	15220	23
275	15387	23
275	15465	23
276	15523	31
277	15638	27
277	15791	23
278	15953	24
278	16136	28
278	16271	28
278	16456	28
278	16602	29
278	16708	29
279	16771	36
279	16964	44
279	17233	44
279	17531	44
279	17748	44
279	17908	54
280	18341	51
280	18665	49
281	19068	47
282	19563	60
282	20061	61
282	20330	63
282	20634	64
282	21338	61
282	21955	70
284	22575	72
285	23226	88
285	23832	92
285	24240	96
285	24729	97
285	25322	104
285	25885	95
291	26506	110
294	27216	109
294	27913	117
294	28431	127
294	28963	135
298	29511	139
299	30113	143
305	30767	138
305	31438	127
306	32245	124
306	32349	129
311	32755	138
314	33180	128
314	33713	116
316	34265	123
328	34745	121
328	35190	118
328	35543	123
332	35825	129
334	36147	128
334	36588	128
353	36966	111
354	37368	128
354	37798	131
354	38070	132
359	38320	151
361	38700	139
361	39160	132
382	39522	136
387	40014	132
387	40436	118
387	40800	121
393	41000	132
395	41331	126
402	41849	133
404	42302	121
404	42773	122
404	43370	136
404	43579	138
405	43902	147
405	44329	138
421	45159	129
421	45451	123
421	46133	113
421	46444	112
421	46882	129
429	47055	141
433	47580	151
436	48274	145
436	49006	140
436	49803	126
436	49933	127
436	50262	128
449	50710	129
452	51241	133
465	52162	129
467	52963	127
471	53782	131
471	54472	125
471	54915	143
478	55470	147
482	55899	149
509	56611	156
511	57278	164
517	57732	158
517	58197	150
517	58441	158
521	58647	153
525	59030	132
543	59452	124
544	59883	125
544	60255	131
544	60565	129
544	60803	135
548	61082	135
550	61315	122
556	61590	120
